"mlbam_id","year","Change","Fourseam","Slider","Curve","Sinker","Split","Cutter","Knuckler","Slow.Curve","Screwball"
592804,2012,37,239,NA,99,NA,NA,NA,NA,NA,NA
592804,2011,10,66,NA,16,7,NA,NA,NA,NA,NA
543853,2014,NA,40,18,NA,33,21,NA,NA,NA,NA
543853,2012,2,26,20,NA,21,NA,NA,NA,NA,NA
460366,2012,2,24,NA,13,NA,NA,51,NA,NA,NA
460366,2011,20,325,NA,185,NA,NA,414,NA,NA,NA
460366,2010,13,130,NA,48,NA,NA,97,NA,NA,NA
444354,2011,19,59,11,14,3,NA,NA,NA,NA,NA
444354,2010,17,169,17,28,NA,NA,NA,NA,NA,NA
433581,2010,75,NA,70,NA,346,NA,NA,NA,NA,NA
457744,2015,32,215,237,4,4,NA,NA,NA,NA,NA
457744,2014,1,43,48,1,5,NA,NA,NA,NA,NA
457744,2011,31,77,34,NA,12,NA,NA,NA,NA,NA
476206,2012,47,NA,32,NA,88,NA,NA,NA,NA,NA
476206,2010,69,93,33,NA,17,NA,NA,NA,NA,NA
621962,2015,109,214,NA,44,NA,NA,38,NA,1,NA
621962,2014,35,117,NA,30,NA,NA,17,NA,NA,NA
346801,2011,30,50,NA,45,86,NA,NA,NA,NA,NA
346801,2010,96,436,268,32,330,NA,NA,NA,NA,NA
573204,2015,4,45,22,3,7,NA,NA,NA,NA,NA
573204,2014,35,389,220,37,127,NA,NA,NA,NA,NA
573204,2013,30,263,113,54,185,NA,NA,NA,NA,NA
573204,2012,13,130,43,24,NA,NA,NA,NA,NA,NA
445612,2015,38,445,116,NA,NA,NA,NA,NA,NA,NA
445612,2014,46,869,206,NA,NA,NA,NA,NA,NA,NA
445612,2013,13,878,269,NA,NA,NA,NA,NA,NA,NA
445612,2012,37,702,250,NA,NA,NA,NA,NA,NA,NA
445612,2011,4,116,30,NA,NA,NA,NA,NA,NA,NA
445612,2010,1,39,13,NA,NA,NA,NA,NA,NA,NA
491159,2015,NA,NA,65,NA,NA,NA,346,NA,NA,NA
