yearID,playerID,HR,BB,HBP,SO,IPouts,FIP
2010,papeljo01,7,28,2,76,201,3.51183582089552
2010,sippto01,12,39,2,69,189,5.31709523809524
2010,stroppe01,2,11,1,11,32,6.829
2010,feldmsc01,18,45,5,75,424,4.73466037735849
2010,bucknbi02,4,5,2,11,39,7.00207692307692
2010,sonnaan01,11,27,7,50,243,4.86912345679012
2010,parkch01,9,19,3,52,191,4.31983769633508
2010,romerjc01,3,29,5,28,110,5.39718181818182
2010,howrybo01,8,13,0,14,105,6.36471428571429
2010,coellro01,0,5,0,5,17,3.96135294117647
2010,romerri01,15,82,8,174,630,3.63614285714286
2010,bisenjo01,1,6,0,5,14,7.579
2010,mischpa01,4,4,1,23,113,3.63652212389381
2010,parrama01,18,63,3,129,366,4.50522950819672
2010,harrima01,10,39,2,46,235,5.13431914893617
2010,kurodhi01,15,48,5,159,589,3.26236162988115
2010,suppaje01,13,37,2,51,304,4.89478947368421
2010,fienca01,2,0,0,0,8,12.829
2010,parrijo01,2,5,0,4,18,8.579
2010,blantjo01,27,43,3,134,527,4.33706451612903
2010,laffeaa01,1,28,2,28,167,3.92331137724551
2010,liriafr01,9,58,10,201,575,2.65639130434783
2010,colemca01,3,25,2,27,171,4.23689473684211
2010,sanchjo01,21,96,9,205,580,3.99968965517241
2010,duchsju01,3,12,1,18,84,4.579
2010,duensbr01,11,35,3,78,392,3.85195918367347
2010,blevije01,7,18,1,46,146,4.22968493150685
2010,sanchro01,0,3,0,5,13,2.84823076923077
2010,pattotr01,0,1,0,1,2,4.579
2010,schlibr01,2,5,1,7,24,6.829
2010,figaral01,1,8,0,5,44,4.91990909090909
2010,hawkila01,2,6,2,18,48,3.954
2010,valdeme01,0,3,0,0,4,9.829
2010,humbeph01,1,7,1,16,65,3.30976923076923
2010,boggsmi01,5,27,4,52,202,3.8809801980198
2010,castial02,5,6,0,11,32,8.79775
2010,richacl01,16,78,4,153,605,3.81288429752066
2010,hawksbl01,15,35,2,61,271,5.11590036900369
2010,worleva01,1,4,0,12,39,3.15592307692308
2010,taschja01,3,11,0,17,59,5.01120338983051
2010,fistedo01,13,32,6,93,513,3.6462514619883
2010,bondeje01,25,60,10,112,513,4.8977134502924
2010,marquje01,1,0,0,0,3,16.079
2010,bonined01,7,22,3,26,204,4.75547058823529
2010,kazmisc01,25,79,12,93,450,5.82566666666667
2010,desseel01,4,16,3,16,141,4.71729787234043
2010,wrighja01,3,25,3,28,175,4.22757142857143
2010,bowdemi01,2,4,0,13,46,3.86160869565217
2010,leagubr01,7,27,2,56,237,3.91444303797468
2010,burrebr01,9,34,6,45,238,4.93194117647059
2010,contrjo01,5,16,4,57,170,3.27311764705882
2010,bowerce01,4,6,1,18,42,5.72185714285714
2010,meddebr01,3,6,0,8,45,5.81233333333333
2010,leakemi01,19,49,3,91,415,4.67659036144578
2010,rincoju01,0,2,0,3,6,3.079
2010,pennha01,0,3,0,0,7,6.93614285714286
2010,pennybr01,4,9,3,35,167,3.40235329341317
2010,boyerbl01,3,29,1,29,171,4.32461403508772
2010,thatcjo01,1,7,1,45,105,1.56471428571429
2010,quallch01,7,21,2,49,177,4.12984745762712
2010,riversa01,2,3,0,1,11,12.079
2010,lopezro01,37,56,3,116,600,5.209
