"Year","Fourseam","Change","Slider","pfx_var","mlbam_id","Sinker","Curve","Split","Cutter","Knuckler","Slow Curve","Screwball"
"2012","6.21","0.00","3.08","bway",489448,NA,NA,NA,"0.00",NA,NA,NA
"2013","4.00","0.00","2.00","bway",489448,NA,NA,NA,"0.00",NA,NA,NA
"2014","10.00","0.00","0.00","bway",489448,NA,NA,NA,"0.00",NA,NA,NA
"2010","0.15","0.00","-0.85","vloc",489448,NA,NA,NA,"0.00",NA,NA,NA
"2011","0.18","0.00","-0.40","vloc",489448,NA,NA,NA,"0.00",NA,NA,NA
"2012","-0.21","-0.38","-0.95","vloc",489448,NA,NA,NA,"-1.20",NA,NA,NA
"2013","-0.17","-1.30","-0.68","vloc",489448,NA,NA,NA,"0.00",NA,NA,NA
"2014","0.88","0.00","0.75","vloc",489448,NA,NA,NA,"0.00",NA,NA,NA
"2010","-0.06","0.00","-0.11","hloc",489448,NA,NA,NA,"0.00",NA,NA,NA
"2011","-0.04","0.00","-0.01","hloc",489448,NA,NA,NA,"0.00",NA,NA,NA
"2012","0.00","-0.06","0.02","hloc",489448,NA,NA,NA,"-0.18",NA,NA,NA
"2013","0.11","-0.40","-0.23","hloc",489448,NA,NA,NA,"0.00",NA,NA,NA
"2014","0.27","0.00","0.35","hloc",489448,NA,NA,NA,"0.00",NA,NA,NA
"2010","11.04","0.00","-0.19","pfx_z",489448,NA,NA,NA,"0.00",NA,NA,NA
"2011","9.80","0.00","-4.46","pfx_z",489448,NA,NA,NA,"0.00",NA,NA,NA
"2012","10.02","6.94","-2.01","pfx_z",489448,NA,NA,NA,"5.35",NA,NA,NA
"2013","10.03","3.57","-1.59","pfx_z",489448,NA,NA,NA,"0.00",NA,NA,NA
"2014","9.10","0.00","-1.45","pfx_z",489448,NA,NA,NA,"0.00",NA,NA,NA
"2010","6.10","0.00","0.36","pfx_x",489448,NA,NA,NA,"0.00",NA,NA,NA
"2011","6.60","0.00","-1.71","pfx_x",489448,NA,NA,NA,"0.00",NA,NA,NA
"2012","7.36","8.68","0.39","pfx_x",489448,NA,NA,NA,"1.72",NA,NA,NA
"2013","7.05","11.66","-0.28","pfx_x",489448,NA,NA,NA,"0.00",NA,NA,NA
"2014","3.22","0.00","-3.00","pfx_x",489448,NA,NA,NA,"0.00",NA,NA,NA
"2010","95.37","0.00","86.75","maxmph",489448,NA,NA,NA,"0.00",NA,NA,NA
"2011","95.35","0.00","83.89","maxmph",489448,NA,NA,NA,"0.00",NA,NA,NA
"2012","95.73","86.81","87.19","maxmph",489448,NA,NA,NA,"91.10",NA,NA,NA
"2013","95.93","82.88","85.64","maxmph",489448,NA,NA,NA,"0.00",NA,NA,NA
"2014","94.62","0.00","83.73","maxmph",489448,NA,NA,NA,"0.00",NA,NA,NA
"2010","92.42","0.00","83.40","mph",489448,NA,NA,NA,"0.00",NA,NA,NA
"2011","92.75","0.00","80.50","mph",489448,NA,NA,NA,"0.00",NA,NA,NA
"2012","92.88","84.22","83.61","mph",489448,NA,NA,NA,"87.87",NA,NA,NA
"2013","93.27","82.88","83.07","mph",489448,NA,NA,NA,"0.00",NA,NA,NA
"2014","93.43","0.00","82.24","mph",489448,NA,NA,NA,"0.00",NA,NA,NA
"2008","5.57","0.00","4.35","bway",432934,NA,"0.00",NA,NA,NA,NA,NA
"2009","3.84","0.00","2.11","bway",432934,NA,"22.22",NA,NA,NA,NA,NA
"2010","6.57","14.29","3.68","bway",432934,NA,"50.00",NA,NA,NA,NA,NA
"2011","6.77","3.39","3.08","bway",432934,NA,"16.67",NA,NA,NA,NA,NA
"2012","5.67","3.92","2.81","bway",432934,NA,"0.00",NA,NA,NA,NA,NA
